City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date,Rainfall(1h),Snowfall(1h)
89,Esperance,-33.87,121.9,46.4,87,75,6.93,broken clouds,AU,2020-07-09 21:13:25,0.0,0.0
90,Supe,-10.8,-77.73,65.52,70,9,12.28,clear sky,PE,2020-07-09 21:13:25,0.0,0.0
91,Mackenzie,55.3,-123.17,59.0,77,75,9.17,light rain,CA,2020-07-09 21:13:25,0.0,0.0
92,Viransehir,37.24,39.76,82.6,26,0,9.37,clear sky,TR,2020-07-09 21:13:26,0.0,0.0
93,Ostrovnoy,68.05,39.51,56.53,96,100,6.87,overcast clouds,RU,2020-07-09 21:13:26,0.0,0.0
94,Kryzhanivka,46.56,30.79,64.4,68,16,7.05,few clouds,UA,2020-07-09 21:13:26,0.0,0.0
95,Namibe,-15.2,12.15,63.0,81,0,9.8,clear sky,AO,2020-07-09 21:13:26,0.0,0.0
96,Opuwo,-18.06,13.84,51.71,52,0,5.41,clear sky,NA,2020-07-09 21:13:26,0.0,0.0
97,Jumilla,38.48,-1.32,78.01,49,7,1.3,clear sky,ES,2020-07-09 21:13:26,0.0,0.0
98,Mys Shmidta,38.48,-1.32,78.01,49,7,1.3,clear sky,ES,2020-07-09 21:13:26,0.0,0.0
99,Yellowknife,62.46,-114.35,70.0,42,75,11.41,shower rain,CA,2020-07-09 21:12:26,0.0,0.0
100,Jamestown,42.1,-79.24,87.01,51,90,3.36,overcast clouds,US,2020-07-09 21:13:27,0.0,0.0
101,Catamarca,-28.47,-65.79,63.0,47,0,1.99,clear sky,AR,2020-07-09 21:13:27,0.0,0.0
102,Haines Junction,60.75,-137.51,63.09,48,96,3.11,light rain,CA,2020-07-09 21:13:27,0.43,0.0
103,Ust-Nera,64.57,143.2,64.85,39,16,0.81,few clouds,RU,2020-07-09 21:13:27,0.0,0.0
104,Beringovskiy,63.05,179.32,56.17,68,76,4.32,broken clouds,RU,2020-07-09 21:13:27,0.0,0.0
105,Jalu,29.03,21.55,84.25,40,0,11.65,clear sky,LY,2020-07-09 21:13:27,0.0,0.0
106,Te Anau,-45.42,167.72,36.59,87,91,0.63,overcast clouds,NZ,2020-07-09 21:13:27,0.0,0.0
107,Port Antonio,18.18,-76.46,90.0,74,40,23.04,scattered clouds,JM,2020-07-09 21:13:28,0.0,0.0
108,Saldanha,-33.01,17.94,53.6,87,100,5.82,moderate rain,ZA,2020-07-09 21:13:28,2.5,0.0
109,Dinar,38.06,30.17,75.2,50,2,11.41,clear sky,TR,2020-07-09 21:13:28,0.0,0.0
110,Provideniya,64.38,-173.3,50.0,81,20,8.95,few clouds,RU,2020-07-09 21:13:28,0.0,0.0
111,Caninde,-4.36,-39.31,76.39,77,41,4.38,light rain,BR,2020-07-09 21:13:28,0.11,0.0
112,Hofn,64.25,-15.21,54.03,66,80,7.99,broken clouds,IS,2020-07-09 21:13:28,0.0,0.0
